timestamp,city,lat,lon,temperature,humidity,pressure,wind_speed,weather_description,aqi,no2,o3,pm2_5,pm10,source_file,year,month,day,hour,split
2026-04-27 20:50:18.000000,Marrakech,31.6295,-7.9811,19.98,73.0,1010.0,4.63,moderate rain,2.0,1.31,89.9,6.64,18.75,raw_collecte_principale.csv,2026,4,27,20,train
2026-04-27 20:50:28.000000,Fes,34.0331,-5.0003,22.08,73.0,1007.0,3.09,thunderstorm,2.0,1.98,61.62,6.6,23.28,raw_collecte_principale.csv,2026,4,27,20,train
2026-04-27 22:43:08.000000,Casablanca,33.5731,-7.5898,20.0,83.0,1012.0,2.06,moderate rain,2.0,1.44,91.88,10.15,25.46,raw_collecte_principale.csv,2026,4,27,22,train
2026-04-27 22:43:17.000000,Rabat,34.0209,-6.8416,20.37,94.0,1009.0,5.66,light rain,2.0,3.09,87.29,14.14,23.84,raw_collecte_principale.csv,2026,4,27,22,train
2026-04-27 22:43:27.000000,Marrakech,31.6295,-7.9811,17.98,77.0,1012.0,4.63,moderate rain,2.0,1.36,86.11,6.28,16.91,raw_collecte_principale.csv,2026,4,27,22,train
2026-04-27 22:43:38.000000,Fes,34.0331,-5.0003,22.08,68.0,1007.0,3.6,thunderstorm,1.0,2.21,55.24,6.0,18.69,raw_collecte_principale.csv,2026,4,27,22,train
2026-04-28 09:21:31.000000,Casablanca,33.5731,-7.5898,18.95,77.0,1010.0,1.54,broken clouds,2.0,1.18,90.94,4.87,13.67,raw_collecte_principale.csv,2026,4,28,9,train
2026-04-28 09:21:37.000000,Rabat,34.0209,-6.8416,19.37,88.0,1010.0,4.12,mist,2.0,2.09,83.94,5.89,14.97,raw_collecte_principale.csv,2026,4,28,9,train
2026-04-28 09:21:44.000000,Marrakech,31.6295,-7.9811,14.98,94.0,1012.0,2.06,broken clouds,2.0,1.03,85.29,3.93,9.88,raw_collecte_principale.csv,2026,4,28,9,train
2026-04-28 09:21:52.000000,Fes,34.0331,-5.0003,19.08,77.0,1011.0,5.66,clear sky,1.0,2.14,44.78,6.14,14.06,raw_collecte_principale.csv,2026,4,28,9,train
2026-04-28 10:21:58.000000,Casablanca,33.5731,-7.5898,20.0,73.0,1011.0,1.54,broken clouds,2.0,1.04,92.62,4.82,13.17,raw_collecte_principale.csv,2026,4,28,10,train
2026-04-28 10:22:05.000000,Rabat,34.0209,-6.8416,21.37,78.0,1010.0,3.09,broken clouds,2.0,1.89,86.15,4.96,12.67,raw_collecte_principale.csv,2026,4,28,10,train
2026-04-28 10:22:11.000000,Marrakech,31.6295,-7.9811,15.0,88.0,1012.0,1.54,broken clouds,2.0,1.08,85.46,3.81,9.54,raw_collecte_principale.csv,2026,4,28,10,train
2026-04-28 10:22:18.000000,Fes,34.0331,-5.0003,19.08,77.0,1011.0,4.63,scattered clouds,1.0,1.61,53.39,5.58,12.22,raw_collecte_principale.csv,2026,4,28,10,train
2026-04-28 11:22:28.000000,Casablanca,33.5731,-7.5898,19.99,72.0,1011.0,1.34,overcast clouds,2.0,0.79,95.45,4.64,12.45,raw_collecte_principale.csv,2026,4,28,11,train
2026-04-28 11:22:34.000000,Rabat,34.0209,-6.8416,22.37,78.0,1011.0,3.09,broken clouds,2.0,1.54,89.66,4.08,10.48,raw_collecte_principale.csv,2026,4,28,11,train
2026-04-28 11:22:42.000000,Marrakech,31.6295,-7.9811,14.98,94.0,1012.0,1.54,broken clouds,2.0,1.01,86.25,3.58,8.82,raw_collecte_principale.csv,2026,4,28,11,train
2026-04-28 11:22:49.000000,Fes,34.0331,-5.0003,21.08,68.0,1011.0,2.57,light rain,2.0,0.72,77.29,4.6,9.36,raw_collecte_principale.csv,2026,4,28,11,train
2026-04-28 12:22:56.000000,Casablanca,33.5731,-7.5898,21.84,68.0,1011.0,2.57,broken clouds,2.0,0.63,96.66,4.66,12.42,raw_collecte_principale.csv,2026,4,28,12,train
2026-04-28 12:23:03.000000,Rabat,34.0209,-6.8416,22.37,78.0,1010.0,2.57,broken clouds,2.0,1.32,91.28,3.68,9.43,raw_collecte_principale.csv,2026,4,28,12,train
2026-04-28 12:23:09.000000,Marrakech,31.6295,-7.9811,17.98,82.0,1012.0,2.06,broken clouds,2.0,0.95,86.85,3.32,7.97,raw_collecte_principale.csv,2026,4,28,12,train
2026-04-28 12:23:16.000000,Fes,34.0331,-5.0003,22.08,64.0,1011.0,2.57,light rain,2.0,0.52,79.66,4.23,7.94,raw_collecte_principale.csv,2026,4,28,12,train
2026-04-28 13:23:22.000000,Casablanca,33.5731,-7.5898,22.01,68.0,1011.0,3.6,broken clouds,2.0,0.53,97.63,4.6,12.16,raw_collecte_principale.csv,2026,4,28,13,train
2026-04-28 13:23:28.000000,Rabat,34.0209,-6.8416,22.37,78.0,1010.0,3.09,broken clouds,2.0,1.18,92.81,3.58,8.99,raw_collecte_principale.csv,2026,4,28,13,train
2026-04-28 13:23:34.000000,Marrakech,31.6295,-7.9811,18.98,77.0,1011.0,2.57,broken clouds,2.0,0.87,87.37,3.08,7.29,raw_collecte_principale.csv,2026,4,28,13,train
2026-04-28 13:23:40.000000,Fes,34.0331,-5.0003,21.08,77.0,1010.0,3.6,scattered clouds,2.0,0.4,79.89,3.78,6.67,raw_collecte_principale.csv,2026,4,28,13,train
2026-04-28 14:23:47.000000,Casablanca,33.5731,-7.5898,22.01,68.0,1010.0,4.12,broken clouds,2.0,0.55,99.26,2.97,7.67,raw_collecte_principale.csv,2026,4,28,14,train
2026-04-28 14:23:53.000000,Rabat,34.0209,-6.8416,22.37,73.0,1010.0,4.12,broken clouds,2.0,0.8,95.45,2.68,6.59,raw_collecte_principale.csv,2026,4,28,14,train
2026-04-28 14:23:59.000000,Marrakech,31.6295,-7.9811,19.98,73.0,1011.0,3.09,broken clouds,2.0,0.67,90.43,3.37,8.11,raw_collecte_principale.csv,2026,4,28,14,train
2026-04-28 14:24:05.000000,Fes,34.0331,-5.0003,22.08,68.0,1009.0,3.09,broken clouds,2.0,0.18,89.28,4.92,11.2,raw_collecte_principale.csv,2026,4,28,14,train
2026-04-28 15:24:13.000000,Casablanca,33.5731,-7.5898,20.01,77.0,1010.0,4.12,broken clouds,3.0,0.45,100.05,3.06,7.61,raw_collecte_principale.csv,2026,4,28,15,train
