timestamp,city,lat,lon,temperature,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,visibility,weather_main,weather_description,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,source_file
2026-05-01 06:18:03.942241,Marrakech,31.6295,-7.9811,11.98,,87.0,1017.0,2.06,,,,,scattered clouds,2.0,,,1.62,68.3,,5.07,11.16,,raw_collecte_mohammed.csv
2026-05-01 06:18:03.942241,Rabat,34.0209,-6.8416,8.37,,100.0,1019.0,0.0,,,,,scattered clouds,2.0,,,2.89,67.02,,4.31,8.24,,raw_collecte_mohammed.csv
2026-05-01 07:18:13.653008,Agadir,30.4278,-9.5981,14.06,,86.0,1017.0,0.77,,,,,overcast clouds,2.0,,,0.25,89.84,,1.62,5.4,,raw_collecte_mohammed.csv
2026-05-01 07:18:13.653008,Tanger,35.7595,-5.834,11.74,,100.0,1019.0,2.57,,,,,broken clouds,2.0,,,1.96,78.65,,2.48,6.11,,raw_collecte_mohammed.csv
2026-05-01 07:18:13.653008,Marrakech,31.6295,-7.9811,12.98,,88.0,1017.0,1.03,,,,,clear sky,2.0,,,2.46,67.01,,5.23,11.37,,raw_collecte_mohammed.csv
2026-05-01 07:18:13.653008,Rabat,34.0209,-6.8416,9.37,,100.0,1019.0,0.0,,,,,scattered clouds,2.0,,,3.49,67.09,,4.61,8.65,,raw_collecte_mohammed.csv
2026-05-01 08:18:23.437422,Agadir,30.4278,-9.5981,16.06,,84.0,1017.0,0.37,,,,,overcast clouds,2.0,,,0.35,88.2,,1.84,6.55,,raw_collecte_mohammed.csv
2026-05-01 08:18:23.437422,Tanger,35.7595,-5.834,13.74,,94.0,1019.0,2.57,,,,,clear sky,2.0,,,2.93,77.74,,2.66,6.37,,raw_collecte_mohammed.csv
2026-05-01 08:18:23.437422,Marrakech,31.6295,-7.9811,14.97,,88.0,1017.0,1.54,,,,,clear sky,2.0,,,4.07,64.66,,5.23,11.39,,raw_collecte_mohammed.csv
2026-05-01 08:18:23.437422,Rabat,34.0209,-6.8416,11.37,,100.0,1019.0,0.0,,,,,scattered clouds,2.0,,,4.52,66.96,,4.9,9.11,,raw_collecte_mohammed.csv
2026-05-01 09:18:33.574171,Agadir,30.4278,-9.5981,18.06,,81.0,1018.0,1.07,,,,,overcast clouds,2.0,,,0.42,87.03,,2.09,8.0,,raw_collecte_mohammed.csv
2026-05-01 09:18:33.574171,Tanger,35.7595,-5.834,15.74,,88.0,1019.0,1.54,,,,,clear sky,2.0,,,2.99,78.24,,2.78,6.59,,raw_collecte_mohammed.csv
2026-05-01 09:18:33.574171,Marrakech,31.6295,-7.9811,16.98,,77.0,1018.0,1.54,,,,,scattered clouds,2.0,,,4.91,61.41,,5.14,11.42,,raw_collecte_mohammed.csv
2026-05-01 09:18:33.574171,Rabat,34.0209,-6.8416,17.37,,94.0,1019.0,2.06,,,,,few clouds,2.0,,,4.71,66.97,,5.24,9.65,,raw_collecte_mohammed.csv
