city,timestamp,temperature,humidity,pressure,wind_speed,clouds,visibility,weather_main,weather_desc,aqi,pm2_5,pm10,co,no2,o3,so2,nh3
Fes,2026-05-01 17:49:50,25.14,53,1015,4.12,40,10000,Clouds,scattered clouds,2,3.95,5.91,97.04,0.64,94,0.55,0.33
Casablanca,2026-05-01 18:49:52,19.13,68,1018,3.09,0,10000,Clear,clear sky,3,5.72,11.53,106.76,2.28,106.12,7.1,0
Tanger,2026-05-01 18:49:54,18.64,72,1018,1.54,0,10000,Clear,clear sky,2,4.21,7.65,105.87,3.01,99.89,4.72,0.03
Karia Ba Mohamed,2026-05-01 18:49:56,20.84,62,1016,4.66,99,10000,Clouds,overcast clouds,2,3.87,6.52,98.77,1.17,88.1,0.79,0.42
Fes,2026-05-01 18:49:58,23.14,60,1016,3.6,40,10000,Clouds,scattered clouds,2,4.22,6.37,96.38,1.13,84.58,0.55,0.52
Casablanca,2026-05-01 19:50:00,18.07,72,1019,3.09,0,10000,Clear,clear sky,3,5.19,11.27,108.35,2.59,101.91,6.46,0
Tanger,2026-05-01 19:50:01,18.64,72,1018,1.03,0,10000,Clear,clear sky,2,3.7,7.11,107.36,3.62,93.82,4.66,0.12
Karia Ba Mohamed,2026-05-01 19:50:03,19.15,68,1017,2.77,99,10000,Clouds,overcast clouds,2,3.9,6.66,99.09,1.79,76.81,0.67,0.62
Fes,2026-05-01 19:50:04,21.14,64,1017,3.6,40,10000,Clouds,scattered clouds,2,4.43,6.7,96.57,1.72,72.53,0.47,0.75
Casablanca,2026-05-01 20:50:06,18.07,72,1020,2.06,53,10000,Clouds,broken clouds,2,4.84,11.09,109.68,2.61,98.32,5.83,0
Tanger,2026-05-01 20:50:07,18.64,72,1019,1.03,0,10000,Clear,clear sky,2,3.44,6.88,108.87,3.68,89.72,4.61,0.15
Karia Ba Mohamed,2026-05-01 20:50:09,18.87,67,1018,2.24,99,10000,Clouds,overcast clouds,2,3.94,6.87,99.41,2.24,69.15,0.59,0.61
Fes,2026-05-01 20:50:10,18.14,88,1018,2.57,40,10000,Clouds,scattered clouds,2,4.52,6.92,96.68,2.16,65.15,0.43,0.93
Casablanca,2026-05-01 21:50:12,18.07,72,1020,1.54,59,10000,Clouds,broken clouds,2,4.54,10.88,108.77,2.62,93.46,4.96,0.08
Tanger,2026-05-01 21:50:13,17.64,72,1019,2.06,0,10000,Clear,clear sky,2,3.35,6.84,108.21,3.65,85.46,4.44,0.15
Karia Ba Mohamed,2026-05-01 21:50:15,18.07,68,1018,2.04,100,10000,Clouds,overcast clouds,2,3.94,6.95,97.67,2.63,61.74,0.52,0.68
Fes,2026-05-01 21:50:16,16.14,94,1018,2.57,0,10000,Clear,clear sky,1,4.41,6.81,95.15,2.45,59.77,0.39,1.19
Casablanca,2026-05-01 22:50:18,17.02,77,1019,2.06,51,10000,Clouds,broken clouds,2,4.45,11.08,109.35,2.63,88.93,3.98,0.16
Tanger,2026-05-01 22:50:19,17.64,72,1018,3.09,0,10000,Clear,clear sky,2,3.44,7.04,108.37,3.58,82.65,4.24,0.15
Karia Ba Mohamed,2026-05-01 22:50:21,16.64,71,1018,1.9,98,10000,Clouds,overcast clouds,1,4.03,7.09,97.45,2.95,54.72,0.43,0.84
Fes,2026-05-01 22:50:23,15.14,100,1018,2.57,0,10000,Clear,clear sky,1,4.32,6.68,95.05,2.63,54.43,0.31,1.33
Casablanca,2026-05-02 10:31:01,19.13,68,1019,2.06,75,8000,Clouds,broken clouds,2,6.89,15.31,102.88,0.94,97.2,5.41,0
Tanger,2026-05-02 10:31:02,19.64,77,1018,3.09,40,7000,Clouds,scattered clouds,2,6.26,10.83,102.4,1.28,97.26,4.55,0
Karia Ba Mohamed,2026-05-02 10:31:04,21.91,63,1018,3.47,96,10000,Clouds,overcast clouds,2,5.84,9.71,96.48,0.51,83.05,0.77,0.28
Fes,2026-05-02 10:31:05,18.14,82,1017,4.63,75,10000,Clouds,broken clouds,2,4.82,8.99,93.66,0.35,82.25,0.39,0.61
Casablanca,2026-05-02 11:31:07,19.13,68,1019,2.06,75,8000,Clouds,broken clouds,3,7.44,15.49,101.2,0.71,101.09,5.88,0
Tanger,2026-05-02 11:31:08,20.64,73,1017,3.09,40,10000,Clouds,scattered clouds,3,6.76,11.13,101.29,0.98,100.98,4.94,0
Karia Ba Mohamed,2026-05-02 11:31:09,23.65,56,1017,3.67,92,10000,Clouds,overcast clouds,2,5.99,9.95,95.66,0.46,84.46,0.77,0.23
Fes,2026-05-02 11:31:11,20.14,72,1016,4.63,75,10000,Clouds,broken clouds,2,5.22,9.5,92.91,0.31,82.89,0.41,0.5
Casablanca,2026-05-02 12:31:14,20.74,60,1018,2.06,40,8000,Clouds,scattered clouds,3,7.44,15.49,101.2,0.71,101.09,5.88,0
Tanger,2026-05-02 12:31:15,19.64,77,1017,3.09,40,10000,Clouds,scattered clouds,3,6.33,10.21,101.75,0.73,103.98,4.63,0
Karia Ba Mohamed,2026-05-02 12:31:17,25.08,52,1016,4.2,82,10000,Clouds,broken clouds,2,5.81,9.71,96.91,0.48,88.88,0.74,0.18
Fes,2026-05-02 12:31:19,20.14,77,1016,4.63,75,10000,Clouds,broken clouds,2,5.29,9.46,93.73,0.29,86.63,0.41,0.37
Casablanca,2026-05-02 13:31:20,20.74,60,1018,2.57,40,10000,Clouds,scattered clouds,3,5.95,12.41,101.3,0.73,101.12,5.88,0
Tanger,2026-05-02 13:31:22,21.64,68,1017,3.6,40,10000,Clouds,scattered clouds,3,5.02,7.95,101.15,0.63,102.28,3.74,0
Karia Ba Mohamed,2026-05-02 13:31:23,25.85,51,1015,4.26,57,10000,Clouds,broken clouds,2,5.86,9.82,97.86,0.37,91.17,0.87,0.09
Fes,2026-05-02 13:31:25,21.14,73,1015,4.63,75,10000,Clouds,broken clouds,2,5.72,9.84,94.91,0.31,87.73,0.54,0.2
Casablanca,2026-05-02 14:31:26,20.18,64,1018,3.6,20,10000,Clouds,few clouds,3,5.14,10.64,100.17,0.7,100.99,5.34,0
Tanger,2026-05-02 14:31:28,22.64,68,1017,3.09,40,10000,Clouds,scattered clouds,3,4.53,7.21,100.47,0.74,101.37,3.61,0
Karia Ba Mohamed,2026-05-02 14:31:29,26.3,49,1014,5.05,61,10000,Clouds,broken clouds,2,5.6,9.4,97.11,0.41,90.51,0.83,0.1
Fes,2026-05-02 14:31:31,22.14,64,1014,3.6,75,10000,Clouds,broken clouds,2,5.72,9.84,94.91,0.31,87.73,0.54,0.2
Casablanca,2026-05-02 15:31:32,20.18,64,1017,3.6,20,10000,Clouds,few clouds,3,4.27,9.2,99.88,0.88,102.02,5.38,0
Tanger,2026-05-02 15:31:34,22.64,68,1016,3.09,40,10000,Clouds,scattered clouds,3,4.15,6.75,101.44,1.1,100.68,3.76,0
Karia Ba Mohamed,2026-05-02 15:31:35,25.98,49,1014,5.84,67,10000,Clouds,broken clouds,2,5.41,9.15,97.38,0.52,90.03,0.83,0.12
Fes,2026-05-02 15:31:36,23.14,60,1014,3.6,40,10000,Clouds,scattered clouds,2,5.65,9.16,95.1,0.52,85.85,0.57,0.2
Casablanca,2026-05-02 16:31:38,20.18,60,1017,3.6,20,10000,Clouds,few clouds,3,3.73,8.46,100.85,1.16,102.04,5.64,0
Tanger,2026-05-02 16:31:39,22.64,68,1015,4.12,40,10000,Clouds,scattered clouds,2,3.9,6.56,102.97,1.68,99.68,3.94,0
Karia Ba Mohamed,2026-05-02 16:31:40,24.65,52,1014,7.65,61,10000,Clouds,broken clouds,2,5.17,8.81,97.03,0.69,88.27,0.86,0.17
Fes,2026-05-02 16:31:42,23.14,60,1014,3.09,40,10000,Clouds,scattered clouds,2,5.65,9.16,95.1,0.52,85.85,0.57,0.2
Casablanca,2026-05-02 17:31:44,19.13,63,1017,3.6,40,10000,Clouds,scattered clouds,3,3.27,7.84,102.61,1.48,100.71,5.86,0
Tanger,2026-05-02 17:31:45,21.64,68,1015,6.17,40,10000,Clouds,scattered clouds,2,3.46,6.15,104.5,2.17,97.71,3.85,0.03
Karia Ba Mohamed,2026-05-02 17:31:47,21.87,58,1014,7.76,66,10000,Clouds,broken clouds,2,4.88,8.43,96.92,0.83,86.65,0.9,0.22
Fes,2026-05-02 17:31:48,22.14,68,1014,3.09,40,10000,Clouds,scattered clouds,2,5.46,8.9,95.53,0.83,82.9,0.63,0.28
Casablanca,2026-05-02 18:31:50,19.13,63,1017,2.57,20,10000,Clouds,few clouds,2,2.99,7.53,103.4,1.81,97.4,5.83,0
Tanger,2026-05-02 18:31:51,21.64,68,1016,4.12,40,10000,Clouds,scattered clouds,2,2.95,5.64,104.92,2.5,93.94,3.56,0.11
Karia Ba Mohamed,2026-05-02 18:31:53,19.31,60,1015,6.5,100,10000,Clouds,overcast clouds,2,4.58,8.05,96.79,1,84.51,0.91,0.29
Fes,2026-05-02 18:31:54,21.14,73,1016,3.6,40,10000,Clouds,scattered clouds,2,5.32,8.67,95.51,1.12,79.35,0.65,0.47
Casablanca,2026-05-02 19:31:56,18.07,72,1017,2.06,0,10000,Clear,clear sky,2,2.99,7.87,105.58,2.03,94.35,5.66,0.03
Tanger,2026-05-02 19:31:57,19.64,77,1016,3.09,75,10000,Clouds,broken clouds,2,2.67,5.42,106.4,2.64,90.82,3.33,0.16
Karia Ba Mohamed,2026-05-02 19:31:59,17.67,69,1017,4.04,100,10000,Rain,light rain,2,4.35,7.76,97.46,1.19,81.77,0.87,0.36
Fes,2026-05-02 19:32:00,20.14,77,1017,3.09,40,10000,Rain,light rain,2,5.17,8.46,95.85,1.45,76.14,0.66,0.77
Casablanca,2026-05-02 20:32:02,18.07,72,1018,2.06,51,10000,Clouds,broken clouds,2,3.02,8.2,107.25,2,91.93,5.14,0.07
Tanger,2026-05-02 20:32:04,19.64,77,1017,2.06,75,10000,Clouds,broken clouds,2,2.53,5.37,107.53,2.59,88.42,3.21,0.17
Karia Ba Mohamed,2026-05-02 20:32:05,16.77,71,1018,2.46,94,10000,Rain,light rain,2,4.14,7.56,98.37,1.33,79.27,0.81,0.35
Fes,2026-05-02 20:32:06,19.14,82,1018,4.12,75,10000,Rain,light rain,2,5.17,8.46,95.85,1.45,76.14,0.66,0.77
Casablanca,2026-05-02 21:32:08,18.07,72,1018,1.54,63,10000,Clouds,broken clouds,2,3.02,8.2,107.25,2,91.93,5.14,0.07
Tanger,2026-05-02 21:32:09,18.64,77,1017,2.57,0,10000,Clear,clear sky,2,2.51,5.4,107.13,2.57,85.51,3.17,0.15
Karia Ba Mohamed,2026-05-02 21:32:11,15.98,74,1018,2.17,84,10000,Clouds,broken clouds,2,3.93,7.23,97.02,1.53,71.52,0.61,0.37
Fes,2026-05-02 21:32:12,18.14,88,1018,4.12,75,10000,Rain,light rain,2,4.87,7.93,95.43,1.91,68.13,0.54,1.26
Casablanca,2026-05-03 11:23:34,22.02,60,1017,2.06,40,6000,Clouds,scattered clouds,2,4.58,10.9,101.18,0.7,91,4.42,0
Tanger,2026-05-03 11:23:35,19.64,73,1016,4.12,40,10000,Clouds,scattered clouds,2,5.1,8.52,100.98,1.12,92.41,3.97,0
Karia Ba Mohamed,2026-05-03 11:23:36,21.77,47,1016,2.1,43,10000,Clouds,scattered clouds,2,4.76,8.96,96.15,0.87,73.71,0.64,0.33
Fes,2026-05-03 11:23:38,17.14,94,1016,1.54,75,10000,Clouds,broken clouds,2,4.91,10.65,93.84,0.34,74.97,0.37,0.36
Casablanca,2026-05-03 12:23:39,22.02,64,1017,3.6,40,6000,Clouds,scattered clouds,2,5.03,11.07,99.78,0.57,93.14,5,0
Tanger,2026-05-03 12:23:42,20.64,68,1016,3.09,40,10000,Clouds,scattered clouds,2,5.38,8.48,99.78,0.89,93.33,4.13,0
Karia Ba Mohamed,2026-05-03 12:23:43,22.98,43,1015,2.75,45,10000,Clouds,scattered clouds,2,4.67,8.74,95.36,0.74,74.35,0.59,0.35
Fes,2026-05-03 12:23:45,17.14,88,1015,1.54,75,10000,Clouds,broken clouds,2,4.87,10.69,93.05,0.28,75.34,0.35,0.34
Casablanca,2026-05-03 13:23:47,20.74,68,1016,4.12,40,6000,Clouds,scattered clouds,2,3.92,9.14,99.82,0.54,89.11,4.66,0
Tanger,2026-05-03 13:23:49,20.64,68,1015,5.14,40,10000,Clouds,scattered clouds,2,5.28,7.87,99.65,0.68,92.97,4.09,0
Karia Ba Mohamed,2026-05-03 13:23:50,23.96,42,1014,3.38,100,10000,Clouds,overcast clouds,2,5.17,9.34,95.66,0.43,82.91,0.73,0.15
Fes,2026-05-03 13:23:52,20.14,77,1014,1.54,75,10000,Clouds,broken clouds,2,5.51,14.06,93.34,0.31,80.61,0.41,0.24
Casablanca,2026-05-03 14:23:53,20.74,64,1016,3.6,40,8000,Clouds,scattered clouds,2,3.57,8.08,98.86,0.46,88.73,4.22,0
